
MTB rifampicin All set Results

rifampicin
0    3069
1    1232
dtype: int64

matrix_size: (4301, 212)

,classifier,tr_precision_avg,tr_recall_avg,tr_f1_avg,te_precision_avg,te_recall_avg,te_f1_avg,Tf_CV_Avg,au_ROC_avg,au_PR_avg
0,LogR,0.9727852013828354,0.9602087223053597,0.9662256349240982,0.967736424325382,0.9534694202182482,0.9601002370760395,0.9686595809796508,0.9873531936193553,0.9795382126908078
1,gNB,0.8791221937347354,0.6345399139177689,0.6474649201978397,0.8513412169611003,0.6133696926633375,0.6181017075094981,0.7791196578536489,0.9670451867041842,0.9336104944604972
2,SVM,0.977714041146883,0.976033272199127,0.9768647853675917,0.9720641078068722,0.9646726685435515,0.968172493598357,0.9736814190047879,0.9937206597821185,0.9785003222080504
3,DT,0.9975923036897522,0.995356290040366,0.9964655576933575,0.962314218211112,0.9503067118661374,0.9559582913117622,0.9637772780794988,0.9528747353998016,0.9486233598454041
4,RF,0.9936476747439337,0.9889411228364987,0.9912554742876322,0.9625764584483952,0.9436480313045076,0.9523105534908507,0.9604311583490245,0.9780430830099993,0.9716957770438155
5,KNN,0.9628656896868293,0.9244850062861844,0.9412350263514812,0.9540861531146262,0.9062502450510245,0.9262368222790865,0.9386674395563923,0.9575692684773438,0.9587423292900055
6,LDA,0.9911734666417745,0.9850275288483411,0.9880371816959682,0.9716730841440725,0.9557452987776255,0.963235290779462,0.9708924023383805,0.9855159697289418,0.9748594654673673
7,mNB,0.9126609910853464,0.93854759266404,0.9240491567108123,0.9092880393381995,0.933153434489986,0.9197099947374264,0.9323893963679369,0.9803707989948741,0.9586004036418553
8,ABC,0.9697765577439856,0.9589544265550317,0.9641581553874906,0.962350808261252,0.9473038006159173,0.9543371138267913,0.9618713787004042,0.9826122251300142,0.9709207826797783
9,GBC,0.9755951322107078,0.9649824924038612,0.970094604202575,0.9661922793337222,0.952573679362601,0.9590124785397399,0.9666617388462675,0.9823292109424466,0.974110758729328
10,ETC,0.9975923036897522,0.995356290040366,0.9964655576933575,0.9645418566375045,0.9532202042614527,0.9585329665762274,0.9661497642426977,0.9777432226769854,0.9726791602227284
11,BC,0.9929240277653744,0.988518495711216,0.9906880201308942,0.9672536375546429,0.9556629514662592,0.9611336567700269,0.9669405497372695,0.9740422412931423,0.9701100150174478

Predicted Labels All Set
,Isolate,prediction by LogR,prediction by gNB,prediction by SVM,prediction by DT,prediction by RF,prediction by KNN,prediction by LDA,prediction by mNB,prediction by ABC,prediction by GBC,prediction by ETC,prediction by BC
82,SAMEA2534220,1,0,1,1,1,1,1,1,1,1,1,1
83,SAMEA2534230,0,0,0,0,0,0,0,0,0,0,0,0
84,SAMEA2534244,0,0,0,0,0,0,0,0,0,0,0,0
85,SAMEA2534245,0,0,0,0,0,0,0,0,0,0,0,0
86,SAMEA2534329,0,0,0,0,0,0,0,0,0,0,0,0
87,SAMEA2534334,0,0,0,0,0,0,0,0,0,0,0,0
88,SAMEA2534411,1,0,1,1,1,1,1,1,1,1,1,1
89,SAMEA2534441,1,0,1,1,1,1,1,1,1,1,1,1
90,SAMEA2534467,0,0,0,0,0,0,0,0,0,0,0,0
91,SAMEA2534489,1,0,1,1,1,1,1,1,1,1,1,1
92,SAMEA2534518,1,0,1,1,1,1,1,1,1,1,1,1
93,SAMEA2534527,0,0,0,0,0,0,0,0,0,0,0,0
94,SAMEA2534547,0,0,0,0,0,0,0,0,0,0,0,0
95,SAMEA2534605,1,0,1,1,1,1,1,1,1,1,1,1
96,SAMEA2534608,0,0,0,0,0,0,0,0,0,0,0,0
97,SAMEA2534618,1,0,1,1,1,1,1,1,1,1,1,1
98,SAMEA2534657,0,0,0,0,0,0,0,0,0,0,0,0
99,SAMEA2534675,0,0,0,0,0,0,0,0,0,0,0,0
100,SAMEA2534728,0,0,0,0,0,0,0,0,0,0,0,0
101,SAMEA2534746,0,0,0,0,0,0,0,1,0,0,0,0
102,SAMEA2534765,0,0,0,0,0,0,0,0,0,0,0,0
103,SAMEA2534780,1,0,1,1,1,1,1,1,1,1,1,1
104,SAMEA2534823,0,0,0,0,0,0,0,0,0,0,0,0
105,SAMEA2534853,0,1,0,0,0,0,0,0,1,0,0,0
106,SAMEA2534865,0,0,0,0,0,0,0,0,0,0,0,0
107,SAMEA2534872,0,0,0,0,0,0,0,0,0,0,0,0
108,SAMEA2534882,0,0,0,0,0,0,0,0,0,0,0,0
109,SAMEA2534883,0,0,0,0,0,0,0,0,0,0,0,0
110,SAMEA2534895,1,1,1,1,1,1,1,1,1,1,1,0
111,SAMEA2534920,0,0,0,0,0,0,0,0,0,0,0,0
112,SAMEA2534923,0,0,0,0,0,0,0,0,0,0,0,0
113,SAMEA2534942,0,0,0,0,0,0,0,1,0,0,0,0
114,SAMEA2534964,0,0,0,0,0,0,0,0,0,0,0,0
115,SAMEA2534992,1,0,1,1,1,1,1,1,1,1,1,1
116,SAMEA2534994,0,0,0,0,0,0,0,1,0,0,0,0
117,SAMEA2535020,0,0,0,0,0,0,0,0,0,0,0,0
118,SAMEA2535022,0,0,0,0,0,0,0,0,0,0,0,0
119,SAMEA2535023,0,0,0,0,0,0,0,0,0,0,0,0
120,SAMEA2535027,0,0,0,0,0,0,0,0,0,0,0,0
121,SAMEA2535063,0,0,0,0,0,0,0,0,0,0,0,0
122,SAMEA2535083,0,0,0,0,0,0,0,0,0,0,0,0
123,SAMEA2535103,0,0,0,0,0,0,0,0,0,0,0,0
124,SAMEA2535110,0,0,0,0,0,0,0,0,0,0,0,0
125,SAMEA2535115,0,0,0,0,0,0,0,0,0,0,0,0
126,SAMEA2535125,0,0,0,0,0,0,0,0,0,0,0,0
127,SAMEA2535136,0,0,0,0,0,0,0,0,0,0,0,0
128,SAMEA2535148,0,0,0,0,0,0,0,0,0,0,0,0
129,SAMEA2535149,0,0,0,0,0,0,0,0,0,0,0,0
130,SAMEA2535182,0,0,0,0,0,0,0,0,0,0,0,0
131,SAMEA2535184,1,0,1,1,1,1,1,1,1,1,1,1
132,SAMEA2535198,1,0,1,1,1,1,1,1,1,1,1,1
133,SAMEA2535202,0,0,0,0,0,0,0,0,0,0,0,0
134,SAMEA2535209,0,0,0,0,0,0,0,0,0,0,0,0
135,SAMEA2535239,0,0,0,0,0,0,0,0,0,0,0,0
136,SAMEA2535251,0,0,0,0,0,0,0,0,0,0,0,0
137,SAMEA2535285,0,0,0,0,0,0,0,0,0,0,0,0
138,SAMEA961570,0,0,0,0,0,0,0,0,0,0,0,0
139,SAMEA961601,0,0,0,0,0,0,0,0,0,0,0,0
140,SAMEA961618,0,0,0,0,0,0,0,0,0,0,0,0
141,SAMEA961619,0,0,0,0,0,0,0,0,0,0,0,0
142,SAMEA961630,0,0,0,0,0,0,0,0,0,0,0,0
143,SAMEA961632,0,0,0,0,0,0,0,0,0,0,0,0
144,SAMEA961638,0,0,0,0,0,0,0,0,0,0,0,0
145,SAMEA961662,0,0,0,0,0,0,0,0,0,0,0,0
146,SAMEA961668,0,0,0,0,0,0,0,0,0,0,0,0
147,SAMN01925614,1,1,1,1,1,1,1,1,1,1,1,1
148,SAMN01925633,1,0,1,1,1,1,0,1,1,1,1,1
149,SAMN01925638,1,1,1,1,1,1,1,1,1,1,1,1
150,SAMN01925652,1,1,1,1,1,1,1,1,1,1,1,1
151,SAMN01925686,1,0,1,1,1,1,1,1,1,1,1,1
152,SAMN02053757,1,0,1,1,1,1,1,1,1,1,1,1
153,SAMN02053767,0,0,0,0,0,0,0,0,0,0,0,0
154,SAMN02053777,1,0,1,1,1,1,1,1,1,1,1,1
155,SAMN02053788,1,0,1,1,1,1,1,1,1,1,1,1
156,SAMN02053821,0,0,0,0,0,0,0,0,0,0,0,0
157,SAMN02053823,0,0,0,0,0,0,0,1,0,0,0,0
158,SAMN02231123,0,0,0,0,0,0,0,0,0,0,0,0
159,SAMN02231126,0,1,1,1,0,0,1,1,1,0,1,1
160,SAMN02231148,0,1,0,1,0,0,1,0,0,0,1,1
161,SAMN02231153,1,0,1,1,1,1,1,1,1,1,1,1
162,SAMN02231158,1,0,1,1,1,0,1,1,1,1,1,1
163,SAMN02231188,1,0,1,1,1,0,1,0,1,1,1,1
164,SAMN02350409,1,0,1,1,1,1,1,1,1,1,1,1
165,SAMN02350427,1,1,1,1,1,1,1,1,1,1,1,1
166,SAMN02350432,1,0,1,1,1,1,1,1,1,1,1,1
167,SAMN02350438,1,0,1,1,1,1,1,1,1,1,1,1
168,SAMN02350444,0,0,0,0,0,0,0,0,0,0,0,0
169,SAMN02350452,0,0,0,0,0,0,0,1,0,0,0,0
170,SAMN02350459,0,0,0,0,0,0,0,1,0,0,0,0
171,SAMN02350460,1,0,1,1,1,1,1,1,1,1,1,1
172,SAMN02350468,0,0,0,0,0,0,0,1,0,0,0,0
173,SAMN02350471,1,0,1,1,1,1,1,1,1,1,1,1
174,SAMN02350474,1,1,1,1,1,1,1,1,1,1,1,1
175,SAMN02350482,1,0,1,1,1,0,1,1,1,1,1,1
176,SAMN02350488,1,0,1,1,1,1,1,1,1,1,1,1
177,SAMN02360564,0,0,0,0,0,0,0,0,0,0,0,0
178,SAMN02360566,1,1,1,1,1,1,1,1,1,1,1,1
179,SAMN02360580,0,1,0,0,0,0,0,1,0,0,0,0
180,SAMN02360594,1,1,1,1,1,1,1,1,1,1,1,1
181,SAMN02360599,0,0,0,0,0,0,0,1,0,0,0,0
182,SAMN02360601,1,0,1,1,1,1,1,1,1,1,1,1
183,SAMN02364086,0,0,0,0,0,0,0,0,0,0,0,0
184,SAMN02364090,0,0,0,0,0,0,0,0,0,0,0,0
185,SAMN02380982,0,0,1,0,0,0,0,0,1,1,0,1
186,SAMN02380986,0,0,0,0,0,0,0,0,0,0,0,0
187,SAMN02380992,0,0,0,0,0,0,0,0,0,0,0,0
188,SAMN02380997,1,0,1,1,1,1,1,1,1,1,1,1
189,SAMN02380998,1,0,1,1,1,1,1,1,1,1,1,1
190,SAMN02381015,0,0,0,0,0,0,0,0,0,0,0,0
191,SAMN02381020,0,0,0,0,0,0,0,0,0,0,0,0
192,SAMN02381024,0,0,0,0,0,0,0,0,0,0,0,0
193,SAMN02381045,0,0,0,0,0,0,0,0,0,0,0,0
194,SAMN02398693,1,0,1,1,1,1,1,1,1,1,1,1
195,SAMN02398701,1,0,1,1,1,1,1,1,1,1,1,1
196,SAMN02398704,1,0,1,1,1,1,1,1,1,1,1,1
197,SAMN02402667,0,0,0,0,0,0,0,0,0,0,0,0
198,SAMN02403442,1,0,1,1,1,1,1,1,1,1,1,1
199,SAMN02403460,1,0,1,1,1,1,1,1,1,1,1,1
200,SAMN02403465,1,0,1,1,1,1,1,1,1,1,1,1
201,SAMN02403476,1,0,1,1,1,1,1,1,1,1,1,1
202,SAMN02403482,1,0,1,1,1,1,1,1,1,1,1,1
203,SAMN02403486,1,0,1,1,1,1,1,1,1,1,1,1
204,SAMN02403505,1,1,1,0,1,1,1,1,1,1,0,0
205,SAMN02403512,1,0,1,1,1,1,1,1,1,1,1,1
206,SAMN02403524,1,0,1,1,1,1,1,1,1,1,1,1
207,SAMN02403526,1,0,1,1,1,1,1,1,1,1,1,1
208,SAMN02403528,1,0,1,1,1,1,1,1,1,1,1,1
209,SAMN02403542,1,0,1,1,1,1,1,1,1,1,1,1
210,SAMN02403549,1,1,1,1,1,1,1,1,1,1,1,1
211,SAMN02403551,1,0,1,1,1,1,1,1,1,1,1,1
212,SAMN02403559,1,0,1,1,1,1,1,1,1,1,1,1
213,SAMN02403578,1,1,1,1,1,1,1,1,1,1,1,1
214,SAMN02403589,0,0,1,1,0,0,1,0,0,1,0,1
215,SAMN02403607,1,0,1,1,1,0,1,1,1,1,1,1
216,SAMN02403613,1,0,1,1,1,1,1,1,1,1,1,1
217,SAMN02414856,1,0,1,1,1,0,1,0,0,1,1,1
218,SAMN02414863,1,0,1,1,1,0,1,1,1,1,1,1
219,SAMN02414864,1,0,1,1,1,1,1,1,1,1,1,1
220,SAMN02414877,1,1,1,1,1,0,1,1,1,1,1,1
221,SAMN02414885,1,0,1,1,1,1,1,1,1,1,1,1
222,SAMN02414886,1,0,1,1,1,1,1,1,1,1,1,1
223,SAMN02414899,1,0,1,1,1,1,1,1,1,1,1,1
224,SAMN02414903,0,0,0,0,0,0,0,0,0,0,0,0
225,SAMN02414917,1,0,1,1,1,1,1,1,1,1,1,1
226,SAMN02414920,1,0,1,1,1,1,1,1,1,1,1,1
227,SAMN02414924,1,0,1,1,1,1,1,1,1,1,1,1
228,SAMN02414965,1,0,1,1,1,1,1,1,1,1,1,1
229,SAMN02414970,1,1,1,1,1,1,1,1,1,1,1,1
230,SAMN02414971,1,0,1,1,1,1,1,1,1,1,1,1
231,SAMN02414972,1,0,1,1,1,1,1,1,1,1,1,1
232,SAMN02414973,1,0,1,1,1,1,1,1,1,1,1,1
233,SAMN02414975,1,1,1,1,1,1,1,1,1,1,1,1
234,SAMN02414977,1,0,1,1,1,1,1,1,1,1,1,1
235,SAMN02414978,1,0,1,1,1,1,1,1,1,1,1,1
236,SAMN02414987,1,0,1,1,1,1,1,1,1,1,1,1
237,SAMN02414988,0,0,0,0,0,0,0,0,0,0,0,0
238,SAMN02419539,0,0,0,0,0,0,0,0,0,0,0,0
239,SAMN02419551,1,0,1,1,1,1,1,1,1,1,1,1
240,SAMN02419556,1,0,1,1,1,1,1,1,1,1,1,1
241,SAMN02419578,1,0,1,1,1,1,1,1,1,1,1,1
242,SAMN02419594,0,0,0,0,0,0,0,0,0,0,0,0
243,SAMN02419598,0,0,0,0,0,0,0,0,0,0,0,0
244,SAMN02419609,1,0,1,1,1,1,1,1,1,1,1,1
245,SAMN02419622,1,0,1,1,1,1,1,1,1,1,1,1
246,SAMN02419629,1,0,1,1,1,1,1,1,1,1,1,1
247,SAMN02419630,0,0,0,0,0,0,0,1,0,0,0,0
248,SAMN02419639,1,0,1,1,1,1,1,1,1,1,1,1
249,SAMN02419642,0,0,0,0,0,0,0,0,0,0,0,0
250,SAMN02419646,0,0,0,0,0,0,0,1,0,0,0,0
251,SAMN02419659,1,0,1,1,1,1,1,1,1,1,1,1
252,SAMN02419661,1,0,1,1,1,1,1,1,1,1,1,1
253,SAMN02419666,0,0,0,0,0,0,0,0,0,0,0,0
254,SAMN02567672,0,0,0,1,0,0,0,0,0,0,1,1
255,SAMN02567685,1,0,1,1,1,1,1,1,1,1,1,1
256,SAMN02567701,1,0,1,1,1,1,1,1,1,1,1,1
257,SAMN02567704,1,0,1,1,1,1,1,1,1,1,1,1
258,SAMN02567706,1,0,1,1,1,0,1,1,1,1,1,1
259,SAMN02584586,0,0,0,0,0,0,0,0,0,0,0,0
260,SAMN02584591,1,0,1,1,1,1,1,1,1,1,1,1
261,SAMN02584647,1,0,1,1,1,1,1,1,1,1,1,1
262,SAMN02584658,1,0,1,1,1,1,1,1,1,1,1,1
263,SAMN02585887,0,0,0,0,0,0,0,0,0,0,0,0
264,SAMN02585892,0,0,0,0,0,0,0,0,0,0,0,0
265,SAMN02585895,0,0,0,0,0,0,0,1,0,0,0,0
266,SAMN02585907,0,1,0,0,0,0,0,1,0,0,0,0
267,SAMN02585923,0,0,0,0,0,0,0,0,0,0,0,0
268,SAMN02585930,0,0,0,1,1,0,0,0,1,0,1,1
269,SAMN02585937,0,0,0,0,0,0,0,0,0,0,0,0
270,SAMN02585947,0,0,0,0,0,0,0,1,0,0,0,0
271,SAMN02585950,0,0,0,0,0,0,0,0,0,0,0,0
272,SAMN02585979,1,0,1,1,1,0,1,1,0,1,1,0
273,SAMN02585983,1,0,1,1,1,1,1,1,1,1,1,1
274,SAMN02586019,1,0,1,1,1,1,1,1,1,1,1,1
275,SAMN02586032,0,0,0,0,0,0,0,0,0,0,0,0
276,SAMN02586050,1,0,1,1,1,1,1,1,1,1,1,1
277,SAMN02586055,1,0,1,1,1,1,1,1,1,1,1,1
278,SAMN02586061,1,0,1,1,1,1,0,1,1,1,1,1
279,SAMN02586069,1,1,1,1,1,1,1,1,1,1,1,1
280,SAMN02586083,1,0,1,1,1,1,1,1,1,1,1,1
281,SAMN02586092,0,0,0,0,0,0,0,0,0,0,0,0
282,SAMN02586099,1,0,1,1,1,0,1,1,1,1,1,1
283,SAMN02598965,0,0,0,0,0,0,0,0,0,0,0,0
284,SAMN02598989,0,0,0,0,0,0,0,0,0,0,0,0
285,SAMN02598995,0,0,0,0,0,0,0,0,0,0,0,0
286,SAMN02599006,0,0,0,0,0,0,0,0,0,0,0,0
287,SAMN02599052,0,0,0,0,0,0,0,0,0,0,0,0
288,SAMN02599057,0,0,0,0,0,0,0,0,0,0,0,0
289,SAMN02599063,0,1,0,1,0,0,1,0,1,0,0,1
290,SAMN02599069,0,0,0,0,0,0,0,0,0,0,0,0
291,SAMN02599070,0,0,0,0,0,0,0,0,0,0,0,0
292,SAMN02599102,0,0,0,0,0,0,0,1,0,0,0,0
293,SAMN02599103,0,1,0,0,0,0,0,1,1,0,0,1
294,SAMN02599114,0,1,0,0,0,0,0,0,0,0,0,0
295,SAMN02599121,0,0,0,0,0,0,0,0,0,0,0,0
296,SAMN02599129,0,0,0,0,0,0,0,0,0,0,0,0
297,SAMN02599137,0,0,0,0,0,0,0,0,0,0,0,0
298,SAMN02599146,0,0,0,0,0,0,0,0,0,0,0,0
299,SAMN02599149,0,0,0,0,0,0,0,0,0,0,0,0
300,SAMN02599150,0,1,0,0,0,0,0,1,0,0,0,0
301,SAMN02599182,0,0,0,0,0,0,0,0,0,0,0,0
302,SAMN02628481,1,0,1,1,1,0,1,1,1,1,1,1
303,SAMN02628487,1,0,1,1,1,1,1,1,1,1,1,1
304,SAMN02628489,1,0,1,1,1,1,1,1,1,1,1,1
305,SAMN02628503,1,0,1,1,1,1,1,1,1,1,1,1
306,SAMN03647114,0,0,0,0,0,0,0,0,0,0,0,0
307,SAMN03647131,0,0,0,0,0,0,0,0,0,0,0,0
308,SAMN03647132,0,0,0,0,0,0,0,0,0,0,0,0
309,SAMN03647139,0,0,0,0,0,0,0,0,0,0,0,0
310,SAMN03647148,0,0,0,0,0,0,0,0,0,0,0,0
311,SAMN03647185,0,0,0,0,0,0,0,0,0,0,0,0
312,SAMN03647195,0,0,0,0,0,0,0,0,0,0,0,0
313,SAMN03647206,0,0,0,0,0,0,0,0,0,0,0,0
314,SAMN03647217,0,0,0,0,0,0,0,0,0,0,0,0
315,SAMN03647231,0,0,0,0,0,0,0,0,0,0,0,0
316,SAMN03647256,0,0,0,0,0,0,0,0,0,0,0,0
317,SAMN03647266,0,0,0,0,0,0,0,0,0,0,0,0
318,SAMN03647275,0,0,0,0,0,0,0,0,0,0,0,0
319,SAMN03647285,0,0,0,0,0,0,0,0,0,0,0,0
320,SAMN03647304,0,0,0,0,0,0,0,1,0,0,0,0
321,SAMN03647317,0,0,0,0,0,0,0,0,0,0,0,0
322,SAMN03647329,0,0,0,0,0,0,0,0,0,0,0,0
323,SAMN03647332,0,0,0,0,0,0,0,0,0,0,0,0
324,SAMN03647342,0,0,0,0,0,0,0,0,0,0,0,0
325,SAMN03647354,0,0,0,0,0,0,0,0,0,0,0,0
326,SAMN03647358,0,0,0,0,0,0,0,0,0,0,0,0
327,SAMN03647366,0,0,0,0,0,0,0,0,0,0,0,0
328,SAMN03647367,0,0,0,0,0,0,0,0,0,0,0,0
329,SAMN03647370,0,0,0,0,0,0,0,0,0,0,0,0
330,SAMN03647392,0,0,0,0,0,0,0,0,0,0,0,0
331,SAMN03647403,0,0,0,0,0,0,0,0,0,0,0,0
